Detector,Time,qPKW
04211V1677432_2,12640,1
16219V72812_1,12660,1
16219V72812_2,12680,1
81077V72158_3,12780,1
88356V72157_4,12820,1
16219V72812_2,12830,1
27372V72852_1,12830,1
10236V72161_1,12860,1
04300V72813_1,12870,1
88356V72157_1,12880,1
16219V72812_2,12890,1
10236V72161_3,12900,1
04300V72813_3,12910,1
16219V72812_1,12910,1
21801V72158_2,12910,1
16219V72812_2,12930,1
10236V72161_4,12950,1
81077V72158_2,12980,1
04211V1677432_1,12990,1
21801V72158_1,13010,1
04300V72813_1,13070,1
10236V72161_2,13120,1
16219V72812_1,13150,1
27372V72852_2,13170,1
10236V72161_2,13180,1
81077V72158_1,13220,1
81077V72158_1,13230,1
04300V72813_1,13300,1
16219V72812_1,13360,1
27372V72852_1,13370,1
16219V72812_1,13390,1
10236V72161_3,13410,1
16219V72812_2,13410,1
81077V72158_3,13460,1
04300V72813_1,13530,1
88356V72157_1,13540,1
27372V72852_2,13580,1
27372V72852_1,13610,1
16219V72812_1,13690,1
16219V72812_2,13700,1
81077V72158_2,13700,1
10236V72161_1,13740,1
04300V72813_1,13750,1
04300V72813_3,13750,1
21801V72158_1,13750,1
88356V72157_4,13750,1
88356V72157_4,13760,1
16219V72812_2,13770,1
88356V72157_4,13770,1
04211V1677432_1,13780,1
88356V72157_4,13780,1
88356V72157_4,13790,1
88356V72157_4,13800,1
16219V72812_1,13810,1
88356V72157_4,13810,1
88356V72157_4,13820,1
88356V72157_4,13830,1
88356V72157_4,13840,1
21801V72158_1,13860,1
81077V72158_3,13890,1
04300V72813_3,13930,1
10236V72161_3,13950,1
04300V72813_1,13970,1
10236V72161_2,13980,1
04300V72813_3,14080,1
16219V72812_2,14100,1
16219V72812_1,14110,1
27372V72852_1,14110,1
16219V72812_2,14160,1
04300V72813_1,14200,1
16219V72812_2,14230,1
16219V72812_1,14270,1
21801V72158_2,14330,1
10236V72161_2,14370,1
10236V72161_3,14370,1
81077V72158_1,14420,1
04211V1677432_1,14430,1
04300V72813_1,14430,1
21801V72158_1,14430,1
81077V72158_2,14430,1
04211V1677432_2,14450,1
16219V72812_1,14470,1
27372V72852_1,14490,1
88356V72157_1,14530,1
16219V72812_2,14560,1
81077V72158_3,14560,1
